ar,hlutf_med_vinnu,hlutf_atvinnulaus,hlutf_i_vinnuafli,land,innfluttir,utfluttir,haelisumsoknir,nyir_innlendir_rikisborgarar,erlendir_rikisborgarar_samtals,samthykkt,hafnad
2013,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,915,515
2013,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2014,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,7170,2230
2014,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,7005,430
2014,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,510,4935
2014,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,25,210
2014,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1000,315
2014,NA,NA,NA,Latvía,3685,0,286,426,268846,25,70
2014,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,10
2014,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,70,110
2014,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1260,475
2014,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,735,850
2014,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2015,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,15040,6050
2015,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,5595,580
2015,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,430,2920
2015,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,40,155
2015,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1585,475
2015,NA,NA,NA,Latvía,55,0,266,215,262975,15,150
2015,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,0,30
2015,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,85,100
2015,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1255,245
2015,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,480,845
2015,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2016,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,30370,12050
2016,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,1350,1700
2016,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,430,4670
2016,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,95,185
2016,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1300,675
2016,NA,NA,NA,Latvía,0,0,343,550,256309,135,125
2016,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,45,40
2016,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,195,90
2016,NA,NA,NA,Malta,NA,NA,NA,NA,NA,1195,245
2016,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,800,490
2016,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2017,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,25205,19960
2017,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,1695,3040
2017,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,1295,2880
2017,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,145,335
2017,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1240,1205
2017,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,20,15
2017,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,290,80
2017,NA,NA,NA,Malta,NA,NA,NA,NA,NA,760,350
2017,NA,NA,NA,Nýja Sjáland,103407,45313,428,37456,0,NA,NA
2017,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,1245,825
2017,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2018,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,15020,19500
2018,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,735,1370
2018,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,365,595
2018,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,135,300
2018,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1215,1265
2018,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,10,30
2018,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,130,140
2018,NA,NA,NA,Malta,NA,NA,NA,NA,NA,645,855
2018,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,595,700
2018,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2019,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,7425,6460
2019,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,400,855
2019,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,60,645
2019,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,60,265
2019,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1300,1975
2019,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,10,20
2019,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,95,235
2019,NA,NA,NA,Malta,NA,NA,NA,NA,NA,410,635
2019,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,585,725
2019,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2020,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,6835,3660
2020,NA,NA,NA,Bretland,0,0,34752,129293,8097000,6855,7550
2020,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,820,1370
2020,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,135,350
2020,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,40,255
2020,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,1675,1700
2020,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,10,15
2020,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,80,265
2020,NA,NA,NA,Malta,NA,NA,NA,NA,NA,265,605
2020,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,635,1870
2020,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,0,0
2021,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,12110,6655
2021,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,2020,1255
2021,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,40,20
2021,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,70,370
2021,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,2295,9980
2021,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,5,10
2021,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,415,2860
2021,NA,NA,NA,Malta,NA,NA,NA,NA,NA,180,630
2021,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,1135,2960
2021,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,50,45
2022,NA,NA,NA,Austurríki,NA,NA,NA,NA,NA,8305,7435
2022,NA,NA,NA,Belgía,NA,NA,NA,NA,NA,4620,6185
2022,NA,NA,NA,Bretland,NA,NA,NA,NA,NA,0,0
2022,NA,NA,NA,Búlgaría,NA,NA,NA,NA,NA,2740,215
2022,NA,NA,NA,Danmörk,NA,NA,NA,NA,NA,285,440
2022,NA,NA,NA,Eistland,NA,NA,NA,NA,NA,310,35
2022,NA,NA,NA,Finnland,NA,NA,NA,NA,NA,835,1020
2022,NA,NA,NA,Frakkland,NA,NA,NA,NA,NA,26180,71580
2022,NA,NA,NA,Grikkland,NA,NA,NA,NA,NA,10915,8355
2022,NA,NA,NA,Holland,NA,NA,NA,NA,NA,11785,1685
2022,NA,NA,NA,Hungary,NA,NA,NA,NA,NA,25,0
2022,NA,NA,NA,Írland,NA,NA,NA,NA,NA,2280,205
2022,NA,NA,NA,Ísland,NA,NA,NA,NA,NA,275,110
2022,NA,NA,NA,Ítalía,NA,NA,NA,NA,NA,19665,20015
2022,NA,NA,NA,Króatía,NA,NA,NA,NA,NA,20,50
2022,NA,NA,NA,Kýpur,NA,NA,NA,NA,NA,335,3560
2022,NA,NA,NA,Latvía,NA,NA,NA,NA,NA,125,90
2022,NA,NA,NA,Liechtenstein,NA,NA,NA,NA,NA,5,5
2022,NA,NA,NA,Litáen,NA,NA,NA,NA,NA,150,370
2022,NA,NA,NA,Lúxemborg,NA,NA,NA,NA,NA,755,175
2022,NA,NA,NA,Malta,NA,NA,NA,NA,NA,50,475
2022,NA,NA,NA,Noregur,NA,NA,NA,NA,NA,775,170
2022,NA,NA,NA,Pólland,NA,NA,NA,NA,NA,2670,975
2022,NA,NA,NA,Portúgal,NA,NA,NA,NA,NA,190,105
2022,NA,NA,NA,Rúmenía,NA,NA,NA,NA,NA,560,1445
2022,NA,NA,NA,Slóvakía,NA,NA,NA,NA,NA,50,30
2022,NA,NA,NA,Slóvenía,NA,NA,NA,NA,NA,160,65
2022,NA,NA,NA,Spánn,NA,NA,NA,NA,NA,23390,35605
2022,NA,NA,NA,Svartfjallaland,NA,NA,NA,NA,NA,25,10
2022,NA,NA,NA,Sviss,NA,NA,NA,NA,NA,7165,1130
2022,NA,NA,NA,Svíþjóð,NA,NA,NA,NA,NA,1575,2745
2022,NA,NA,NA,Tékkland,NA,NA,NA,NA,NA,130,360
2022,NA,NA,NA,Þýskaland,NA,NA,NA,NA,NA,95950,53910
