Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2023-03-01,Eistland,37020,885,15,95,14.444444444444445,5.555555555555556,0.3666666666666667
2023-04-01,Eistland,35135,645,10,140,13.333333333333334,3.3333333333333335,0.25
2023-05-01,Eistland,35105,725,15,125,12.777777777777779,3.3333333333333335,0.2619047619047619
2023-06-01,Eistland,35215,675,25,130,12.222222222222221,3.3333333333333335,0.2738095238095238
2023-07-01,Eistland,35425,810,10,135,11.666666666666666,3.3333333333333335,0.2857142857142857
2023-08-01,Eistland,35780,845,20,125,12.777777777777779,3.888888888888889,0.30158730158730157
2023-09-01,Eistland,35820,660,10,125,13.888888888888888,4.444444444444444,0.31746031746031744
2023-10-01,Eistland,35855,670,20,135,15,5,0.3333333333333333
2023-11-01,Eistland,35885,600,25,130,NA,NA,NA
2023-12-01,Eistland,35945,435,10,105,NA,NA,NA
2024-01-01,Eistland,35755,475,10,105,NA,NA,NA
2024-02-01,Eistland,35205,390,5,100,NA,NA,NA
2022-03-01,Írland,13120,13175,890,7080,402.22222222222223,375.5555555555556,0.9370150266495936
2022-04-01,Írland,25215,12135,1115,7630,381.6666666666667,370,0.9694323144104804
2022-05-01,Írland,33190,7975,1515,8660,397.22222222222223,323.3333333333333,0.8252765364552359
2022-06-01,Írland,40105,6925,1555,9575,412.77777777777777,276.6666666666667,0.6811207584999915
2022-07-01,Írland,45835,5730,1240,10235,428.3333333333333,230,0.5369649805447471
2022-08-01,Írland,49820,3995,1115,11235,360.5555555555556,220,0.6542729499927943
2022-09-01,Írland,54665,4860,1050,12000,292.77777777777777,210,0.7715809194408416
2022-10-01,Írland,60705,6060,1170,12865,225,200,0.8888888888888888
2022-11-01,Írland,64805,4130,1275,13780,248.88888888888889,198.33333333333334,0.8116937161880982
2022-12-01,Írland,69380,4590,1185,14630,272.77777777777777,196.66666666666666,0.7344985434873076
2023-01-01,Írland,72015,2660,1295,15360,296.6666666666667,195,0.6573033707865169
2023-02-01,Írland,75070,3085,820,15640,294.44444444444446,211.66666666666666,0.7198114425933101
2023-03-01,Írland,78235,3210,845,15915,292.22222222222223,228.33333333333334,0.7823195144001034
2023-04-01,Írland,80085,1895,625,16175,290,245,0.8448275862068966
2023-05-01,Írland,82760,2735,925,16620,291.6666666666667,254.44444444444446,0.8720696149100591
2023-06-01,Írland,85800,3105,875,16915,293.3333333333333,263.88888888888886,0.8993116436132216
2023-07-01,Írland,89095,3395,1005,17240,295,273.3333333333333,0.9265536723163842
2023-08-01,Írland,91215,2225,1140,17915,317.22222222222223,287.77777777777777,0.9095611271663759
2023-09-01,Írland,94090,2965,1235,18635,339.4444444444444,302.22222222222223,0.8925685820163678
2023-10-01,Írland,97320,3345,1445,19750,361.6666666666667,316.6666666666667,0.8755760368663594
2023-11-01,Írland,99420,2230,1440,20400,NA,NA,NA
2023-12-01,Írland,101495,2185,1405,21570,NA,NA,NA
2024-01-01,Írland,102805,1455,1750,22510,NA,NA,NA
2024-02-01,Írland,103460,735,NA,NA,NA,NA,NA
2022-03-01,Grikkland,0,0,2300,30930,3326.1111111111113,1875.5555555555557,0.5647668912401772
2022-04-01,Grikkland,8880,8880,2020,28715,3560,1988.3333333333333,0.5585205992509363
2022-05-01,Grikkland,14765,5885,2745,25175,3395.555555555555,1705.5555555555557,0.4962601096455518
2022-06-01,Grikkland,16750,1985,3080,22520,3231.1111111111113,1422.777777777778,0.43399962004016723
2022-07-01,Grikkland,18050,1295,2965,21435,3066.6666666666665,1140,0.3717391304347826
2022-08-01,Grikkland,19080,1035,2980,21565,3166.6666666666665,1296.111111111111,0.40706701104893106
2022-09-01,Grikkland,19780,700,3925,21595,3266.6666666666665,1452.2222222222224,0.4423948916630793
2022-10-01,Grikkland,20415,635,4040,20915,3366.6666666666665,1608.3333333333333,0.4777227722772277
2022-11-01,Grikkland,21025,605,4460,20845,3061.6666666666665,1448.3333333333333,0.4718922266121921
2022-12-01,Grikkland,21530,505,4810,22475,2756.6666666666665,1288.3333333333333,0.4660616809471566
2023-01-01,Grikkland,21985,455,4170,22605,2451.6666666666665,1128.3333333333333,0.460231135282121
2023-02-01,Grikkland,22280,315,2900,21595,2204.4444444444443,1024.4444444444446,0.4660150388560469
2023-03-01,Grikkland,22705,425,2990,19770,1957.2222222222224,920.5555555555557,0.47179894242997267
